GameID,LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
193,4,22,20,1200,120.7014,0.0054956239,0.0002398883,5,0.0,2.18080311709459e-05,0.0036128638,44.8387,60.9175,4.8089,31,0.00051612,5,0.0,0.0
196,5,18,28,800,84.1578,0.0023682455,0.0006004003,4,0.0,0.0,0.0027851901,48.8675,77.7485,4.9042,15,0.00086724,6,5.00333555703803e-05,0.00010007
204,3,18,8,600,62.2194,0.0010991957,0.0003217158,0,4.02144772117962e-05,0.0002010724,0.002386059,44.3164,90.8989,4.5393,14,0.00071046,7,0.0,0.00010724
209,3,20,6,150,72.141,0.0012379023,0.000393878,5,1.87560957311126e-05,0.0002719634,0.0033760972,45.9164,68.8778,3.7528,24,0.00079713,8,0.0001219146,0.00035637
210,4,23,20,100,83.9658,0.0026726974,0.0003769189,3,0.0,0.0001713268,0.0029125548,44.0476,78.0706,4.6118,10,0.00071957,3,0.0,0.0
215,2,27,24,250,73.9722,0.0026472782,0.0004548844,7,7.45712155108128e-06,0.000186428,0.0026845638,58.8858,88.6889,4.4111,24,0.00058166,8,0.0001043997,0.00023863
219,6,21,8,730,130.941,0.0047583021,0.0007565501,10,7.96368559369276e-05,0.0001393645,0.0033845664,36.8047,57.2471,5.7765,11,0.00059728,2,0.0,0.0
220,2,27,8,280,55.047,0.000642809,0.0001264542,0,7.37649637497892e-05,9.48406676783005e-05,0.0025290845,62.8452,83.8667,3.9333,22,0.00052689,6,0.0,0.00017914
225,4,22,36,1000,98.6694,0.0044748483,0.0004629153,1,0.0002571752,0.0003600453,0.0023917292,52.6957,62.5806,5.828,17,0.0005915,3,0.0,0.0
226,4,18,6,50,107.4186,0.0030285773,0.0003106233,4,0.0002200248,0.0003365086,0.0035592255,37.3723,56.0436,5.0873,24,0.00095776,7,0.0,0.0
229,5,18,24,200,111.8556,0.0044004038,0.0006254938,0,9.87621806689492e-05,0.0001975244,0.0039175665,48.1798,54.1513,4.3529,31,0.0010096,8,0.0001646036,0.00038408
234,2,16,24,50,109.038,0.0043008666,0.0001778554,6,0.0,0.0,0.003395421,28.555,63.1429,4.8571,13,0.0010186,6,0.0,8.0843e-05
244,5,23,12,600,142.5096,0.0040592671,0.0005435736,7,5.26038926880589e-05,9.6440469928108e-05,0.0034806242,39.7778,56.7456,6.6977,33,0.0012537,9,8.76731544800982e-05,7.0139e-05
246,5,19,6,550,106.4316,0.0016084387,9.3513877459415e-05,0,0.0,0.0002431361,0.0031981746,25.1294,64.7953,5.7251,11,0.0010099,3,0.0,0.0
266,4,28,6,1200,62.8314,0.0009698919,0.0001906625,4,5.8027720671132e-05,0.0002072419,0.0023957159,44.0139,84.2907,4.7232,23,0.00059686,9,4.14483719079515e-05,7.4607e-05
267,5,22,6,160,134.571,0.0031693861,0.0004695387,4,0.0,0.0004842118,0.0048714638,28.5921,49.506,4.4849,25,0.0018341,7,0.0,0.0
268,4,31,10,400,119.232,0.0033847158,0.0004077971,2,0.000142729,0.0004485768,0.0032215969,30.6242,68.4557,5.9304,16,0.00063209,5,0.0,0.00022429
284,4,25,4,180,107.4084,0.0016043983,0.0003883257,8,0.0,0.0003985448,0.0039650098,30.5633,51.4124,4.8144,22,0.0011445,8,7.15336821451929e-05,0.00012263
290,3,31,12,300,72.0948,0.0035302293,0.0001042391,1,3.47463516330785e-05,0.0003196664,0.0022863099,73.9634,89.1793,3.7356,37,0.00042391,7,0.0,0.0
299,5,21,20,1000,111.0876,0.0031411898,0.0008039064,7,0.0,0.0002233073,0.003543143,25.6371,55.6303,5.063,12,0.00064015,4,0.0,0.0
301,5,19,14,450,117.4128,0.0052675585,0.0004598662,5,0.0,0.0001672241,0.0032399666,53.013,53.7032,5.4129,18,0.0018604,6,0.0,0.0
312,5,17,28,730,116.2062,0.0043155623,0.0003420873,5,9.21004157675912e-05,0.000263144,0.0034998158,41.4792,59.1429,5.2368,29,0.0012105,5,0.0001710436,0.00017104
321,3,30,12,500,62.898,0.002032802,0.0004158004,6,0.0,1.15500115500116e-05,0.004019404,58.5591,60.3678,2.454,26,0.00072765,6,0.0,8.085e-05
329,6,24,24,1000,146.6856,0.0049566295,0.0003336193,4,0.0,0.0006910685,0.0043132209,28.8864,48.9061,5.3066,30,0.0015847,7,0.0,0.0
333,2,16,28,300,76.8504,0.0007144174,0.0003572087,1,0.0,0.0001037058,0.0019473636,42.5714,82.5089,7.2249,18,0.00038025,3,0.0,0.0
336,4,23,4,415,59.181,0.00163768,0.0005458933,4,7.66166104811523e-05,0.0002394269,0.0025379252,62.5909,84.4528,3.883,24,0.00083321,8,0.0,0.0
338,4,31,4,500,100.4322,0.0006862708,7.52077614409807e-05,3,9.40097018012259e-06,0.0006674689,0.003797992,45.6675,66.7822,4.8589,25,0.0010905,9,0.0002162223,0.00011281
339,6,16,20,500,157.9002,0.0081300813,0.0002078714,4,2.30968218773097e-05,0.0002078714,0.00297949,18.5,52.9302,7.1318,13,0.0007622,7,0.0,0.0
342,3,22,10,200,87.2484,0.0002505289,5.56730876294399e-05,0,0.0,0.0001948558,0.0034238949,27.2787,49.9512,4.7967,17,0.00055673,3,0.0,0.00019486
378,3,19,20,730,91.308,0.0037889594,0.0003833535,4,3.5660794522502e-05,0.00022288,0.0030935739,42.0578,78.6052,4.4265,21,0.00074888,5,0.0,0.0
388,6,18,10,430,166.902,0.008271028,0.0004439252,4,0.0001869159,0.0004906542,0.0031308411,31.4286,52.6866,7.3209,15,0.0018458,5,0.0,2.3364e-05
393,6,22,10,1000,91.866,0.0030128763,0.0004353205,6,0.0001260138,0.0001374696,0.0046854236,36.3039,49.7311,3.088,29,0.0014091,7,0.0,8.0191e-05
394,5,21,12,730,166.5636,0.0021712489,0.0003196931,3,2.66410912190963e-05,0.0001731671,0.0055280264,23.1111,38.6699,5.1133,31,0.0019048,6,0.0,0.0
401,3,19,12,480,52.8438,0.0015406738,0.0003668271,4,7.3365418476347e-05,8.80385021716164e-05,0.0025677896,65.0345,82.24,3.44,20,0.0011445,6,0.0,0.00017608
407,5,19,14,1000,144.6822,0.0052753816,0.000309666,5,6.635700066357e-05,0.0001658925,0.004888299,34.1769,42.6516,4.2873,22,0.002046,6,0.0,0.0
422,2,20,6,100,61.7502,0.001604413,0.0003605423,6,0.0,0.0003064609,0.001910874,72.4952,85.5472,5.3585,16,0.0010095,5,0.0,0.0
426,3,18,24,400,83.376,0.0005189375,0.0001203333,5,1.50416654131945e-05,0.0008122499,0.0029556873,58.8878,67.0636,5.2875,29,0.0005039,7,0.0,0.0
436,3,18,12,450,78.825,4.54959053685168e-05,0.0002047316,3,0.0,0.0006369427,0.0031847134,45.6978,72.9714,4.6786,7,0.00034122,4,0.0,0.0
438,5,16,12,600,81.711,0.0008131403,0.0001084187,1,1.35523391337345e-05,0.0,0.0033338754,49.1755,66.5691,4.3902,20,0.00079959,7,0.0,0.00029815
439,3,25,20,800,76.5426,0.0010614731,0.000250534,6,3.95580052216567e-05,0.0004153591,0.0027492814,57.1442,82.9353,4.9448,23,0.00057359,6,0.0,0.0
442,4,19,6,50,88.1628,0.0015055956,0.0001896813,1,1.18550834597876e-05,0.0003437974,0.002702959,51.8062,81.2632,5.5132,15,0.0011737,6,8.29855842185129e-05,7.1131e-05
443,5,29,20,1000,134.2992,0.0036035095,0.0001357844,0,0.0002088991,0.0003237936,0.0030081471,10.8571,54.5139,7.2257,32,0.0007207,6,5.22247754334656e-05,2.089e-05
444,3,22,12,100,66.8676,0.0026160264,0.0003215714,7,1.73822353554667e-05,0.0003389536,0.0030505823,75.7029,75.5442,3.4274,19,0.00051278,7,0.0002085868,0.00017382
464,4,20,6,1000,96.756,0.0020302477,0.0005149179,6,5.88477608426999e-05,0.0,0.0036338492,29.0894,56.2105,4.4737,27,0.00067675,7,0.0,0.0
473,6,17,10,500,109.6176,0.0038119102,0.0005464627,4,0.0,0.0002132537,0.0037985819,26.9155,46.0211,4.5825,24,0.0011063,7,1.33283574132324e-05,0.00041318
475,4,19,6,200,62.1042,0.0007779978,0.0002829083,5,0.0,0.0002222851,0.003364588,37.7711,71.1111,3.3814,28,0.00082852,9,0.0,0.00029301
480,6,19,12,800,133.884,0.005592032,0.0003477632,7,6.95526374360116e-05,5.56421099488093e-05,0.0056754952,37.828,40.7059,3.3922,21,0.0011685,4,0.0,0.0
490,4,20,24,233,69.1764,0.0003305829,2.64466306992489e-05,0,9.25632074473712e-05,0.0001983497,0.0019967206,44.1333,93.404,6.3113,15,0.00048926,4,0.0,0.0
497,6,27,12,416,149.094,0.0033348443,0.0005827883,3,4.85656931943275e-05,0.0010360681,0.0045651752,26.3772,45.1915,5.2057,23,0.0012789,6,0.0,0.0
508,6,25,4,800,87.2346,0.0046848382,0.0004258944,1,2.6618398637138e-05,0.0001597104,0.0030877342,53.7391,79.5862,3.6983,14,0.00087841,4,0.0,7.9855e-05
509,6,20,24,500,135.414,0.0021313579,0.0005173199,8,4.1385589537723e-05,0.0003621239,0.0050076563,27.4865,50.6942,4.6302,26,0.0015623,8,0.000103464,0.00016554
511,4,18,16,600,125.832,0.000655684,3.07351856405213e-05,1,0.0,0.0001536759,0.0036574871,38.809,57.2773,6.056,20,0.0011577,7,7.17154331612163e-05,3.0735e-05
512,3,27,6,120,58.6008,0.0016491147,0.0003761139,3,5.78636731859738e-05,0.0002314547,0.0021120241,37.5,104.9863,4.6712,10,0.0010126,4,0.0,0.00014466
514,4,16,8,1000,79.2294,0.001579552,0.0002761455,3,4.41832722131401e-05,0.0002761455,0.0033137454,35.5318,66.9467,4.09,20,0.00078425,9,0.0,0.00034242
519,4,17,16,150,115.536,0.0027815285,0.0003915744,1,1.35025654874426e-05,0.0003915744,0.0027950311,25.4369,73.4879,6.9179,18,0.00086416,7,0.0,1.3503e-05
525,5,17,10,780,174.2208,0.0079673583,0.0004118828,6,0.0,0.0001415847,0.004453483,38.7362,45.9769,5.4971,24,0.0012743,8,0.0001930701,0.00021881
527,3,23,4,400,156.9822,0.0097960178,0.0002999738,4,9.37417975927106e-06,0.0002343545,0.0032153437,34.9942,64.5831,6.5802,27,0.0010593,6,0.000206232,0.00023435
529,4,17,36,1260,82.5732,0.001679813,0.0005842828,6,0.0,0.0007668712,0.0021180251,39.9298,77.2414,6.4483,8,0.0016068,4,0.0,0.0
531,6,18,14,500,135.3252,0.0035718401,0.0003024542,2,0.0,0.0003168568,0.0029669317,34.5561,47.7864,7.3447,18,0.0011954,10,0.0001008181,0.00040327
536,5,22,10,500,67.1406,0.0011520737,0.0002601457,5,0.0,5.57455031960755e-05,0.0038464397,56.5437,55.7295,3.029,15,0.0011335,3,0.0,0.0
540,6,24,18,750,157.167,0.0047560113,0.0002652051,3,0.0001237624,0.0006364922,0.0051980198,20.3003,38.2177,4.5544,16,0.0017857,6,0.0,3.5361e-05
545,5,25,10,700,127.887,0.0023500256,0.0003738677,5,3.20458041360451e-05,0.0004593232,0.0044009571,46.9684,52.0097,4.8519,35,0.0020402,9,7.47735429841053e-05,6.4092e-05
560,5,17,14,600,99.5436,0.0015240968,0.0003529487,5,3.20862478341783e-05,0.0004171212,0.0034813579,38.7407,51.871,5.212,24,0.00088237,4,0.0,0.00024065
568,5,20,10,600,114.8658,0.0028474633,0.0003637271,7,5.19610084592522e-06,0.0001870596,0.0047128635,37.4084,50.9724,4.1191,33,0.00089373,9,0.0,5.1961e-06
570,4,21,4,500,86.7318,0.0032744104,0.0005539416,6,0.0,1.23098133832291e-05,0.0034221281,30.296,63.554,4.0072,28,0.00078783,5,0.0,0.0
572,5,28,20,600,91.3278,0.0020846362,0.0004690432,10,1.73719685914808e-05,0.0001216038,0.0030227225,50.9364,78.9885,4.9885,20,0.0017719,6,0.0,0.0
578,5,25,8,600,99.8568,0.0025162897,0.0004237962,6,6.62181490702972e-05,0.000251629,0.004079038,34.1368,58.1299,4.0844,24,0.00099327,7,0.0,1.3244e-05
581,5,21,8,800,120.9714,0.0071521929,0.000399361,5,4.53819343595701e-05,0.0001542986,0.0033945687,38.3914,62.7166,4.607,26,0.00060812,6,9.98402555910543e-05,0.00022691
584,2,24,12,10,44.5248,0.0018700091,0.0001516224,0,5.05407864146366e-05,0.000126352,0.0020469018,66.35,97.9259,3.358,11,0.00060649,3,0.0,0.0
591,4,17,8,400,87.531,0.0014683735,0.0002635542,4,0.0,0.0001694277,0.0034638554,59.3443,53.3478,4.2609,13,0.00099774,7,0.0,0.00032003
600,1,17,12,300,89.031,0.0007101086,0.0001531607,1,0.0,0.000139237,0.0031049847,53.5856,63.426,5.1435,26,0.0014341,5,0.0,0.0
601,3,25,8,110,133.6512,0.0034193625,0.0006838725,4,0.0,0.000356803,0.0030922931,39.5728,54.1154,7.2212,12,0.00098121,5,0.0,0.0
604,3,21,10,200,68.1486,0.00163942,0.0003925372,0,2.30904220929159e-05,2.30904220929159e-05,0.0041331856,29.3034,56.9832,2.7374,16,0.00076198,4,0.0,0.00011545
609,6,16,14,1000,165.0564,0.0047068081,0.0006848916,7,1.45721613429704e-05,0.0004225927,0.0050856843,27.7471,39.7249,5.0401,28,0.0013844,7,0.0,0.00018944
614,5,24,12,700,99.5442,0.0038657064,0.0004501165,3,0.0,2.64774412200805e-05,0.0031331639,40.0791,71.0986,4.9296,24,0.00081197,8,0.0001235614,0.00032656
621,3,16,20,450,124.5054,0.003002681,0.0004289544,5,0.0,0.0003217158,0.0030697051,32.0702,58.2533,6.821,21,0.0015952,8,0.0001742627,0.00013405
623,5,18,28,1200,136.485,0.0086723556,0.0003969041,3,4.96130184560429e-05,0.0003869815,0.0040980353,38.6796,55.4576,4.1356,26,0.0011014,6,0.0,0.0
626,5,24,10,200,148.0326,0.005376968,0.0002804534,10,0.0001450621,0.0003578198,0.0040037136,35.7869,52.8213,5.7126,28,0.0014603,8,4.83540288576844e-05,0.00013539
628,2,18,12,500,89.5368,0.0028627585,0.0003418219,5,8.54554776961203e-05,8.54554776961203e-05,0.002456845,69.2281,72.4174,5.5565,25,0.00064092,5,0.0,0.0
632,5,18,10,1000,141.735,0.0039813667,0.0004245261,3,0.0001376842,0.0004015788,0.003614209,24.0,50.2857,6.4825,26,0.0017899,8,0.0001835789,0.00014916
633,3,16,8,92,100.3074,0.0001407217,7.81787478891738e-05,3,1.56357495778348e-05,0.0002345362,0.0038776659,32.3401,58.0484,4.6694,15,0.0012821,6,0.0,0.0
637,6,19,10,900,158.868,0.0067098226,0.000766371,8,6.52230628750326e-05,0.0006440777,0.0051933864,26.327,41.438,4.5118,33,0.000693,8,0.0,0.00044841
643,6,22,28,1000,93.741,0.0042714598,0.0002733734,4,0.000102515,0.0004100601,0.0032804811,42.9895,69.2083,4.1875,20,0.00092264,4,0.0,0.0
645,2,21,16,500,101.6526,0.0019830078,0.0002379609,2,0.0001233872,0.0002996545,0.0023884228,23.1259,72.2214,7.3247,22,0.00097828,8,0.0,0.0
651,2,29,4,100,86.5122,0.000697496,6.97495989398061e-05,1,3.48747994699031e-05,0.0002441236,0.0033305433,39.6211,67.0995,4.623,12,0.00071493,3,0.0,0.0
654,3,26,8,730,93.5688,0.0006468017,6.6910518333482e-05,2,0.0,6.6910518333482e-05,0.0033678294,42.4533,65.1391,4.9669,17,0.001472,5,0.0,0.0
655,5,18,28,700,128.9046,0.0037515281,0.0005883252,5,1.5281173594132e-05,5.34841075794621e-05,0.0050733496,35.1493,43.3795,4.1099,31,0.00074114,9,0.0001375306,0.00042023
656,5,25,12,800,138.1902,0.0065616798,0.0005468066,4,4.68691413573303e-05,0.0002343457,0.0049056368,28.7412,40.4204,3.9618,18,0.0011561,6,0.0001718535,0.00039058
664,5,28,8,500,72.816,0.0002844546,0.0001244489,0,0.0002133409,3.55568197980373e-05,0.0031290001,22.6514,63.2045,4.2955,13,0.00094226,3,0.0,0.0
666,5,21,28,800,85.395,0.0013651472,0.0002967711,3,0.0001780627,0.0007419278,0.0025819088,36.8837,64.5517,5.7471,16,0.0007716,4,0.0,0.0
672,2,23,8,400,114.7236,0.0022895916,0.0001336988,3,6.68493883280968e-05,6.68493883280968e-05,0.0030082225,31.3296,64.8222,6.3278,24,0.0016712,7,0.0,0.0
674,4,23,8,400,141.6378,0.0024635193,0.0004463519,3,0.0001373391,0.0003347639,0.0035193133,26.0342,53.2976,7.6902,18,0.00070386,10,0.0001201717,0.00037768
683,4,20,28,999,110.1012,0.0039685787,0.0004398167,6,2.04565911136568e-05,0.000102283,0.0026491285,50.4496,67.444,7.1004,23,0.0015547,8,0.0,0.0
685,4,19,8,500,125.103,0.0025713008,0.0004596045,2,1.24217430189804e-05,0.0002981218,0.003627149,23.079,51.6986,6.2192,21,0.0014285,7,0.0,3.7265e-05
691,4,20,12,200,73.5696,0.0019696528,0.0004481221,5,3.1264329484347e-05,7.2950102130143e-05,0.0033140189,58.9274,69.1572,3.8491,25,0.00083372,8,0.0001250573,0.00022927
692,2,18,8,400,87.5064,0.0019125491,0.0003860191,8,0.0,0.0001052779,0.0023862998,34.4296,85.0588,6.2647,15,0.0018599,6,0.0001052779,0.0
694,2,18,28,250,73.02,0.0021471452,0.0006244249,1,0.0,0.0002190964,0.0035603173,45.5802,77.5754,3.2615,20,0.00050392,9,0.0,0.0
699,1,21,10,150,86.2812,0.0010276885,0.0001771877,4,2.36250236250236e-05,0.0001890002,0.0029295029,60.1296,76.3871,5.1573,23,0.001134,6,0.0,0.0
703,3,23,16,500,99.9318,0.0022422414,0.0004166997,3,3.96856893404238e-05,0.0004960711,0.0027978411,65.3429,73.7589,5.9858,13,0.001766,5,0.0,0.0
712,4,20,8,600,130.1964,0.0051398109,0.0003419835,5,0.0,1.00583383625025e-05,0.0042647355,44.7754,53.1981,4.5943,26,0.0015993,7,0.0002112251,0.00015088
716,4,19,10,600,64.7592,0.0018953069,0.0004738267,8,6.76895306859206e-05,0.0001353791,0.0027865523,52.6667,80.6154,3.9028,18,0.00051895,6,0.0,0.00040614
720,5,21,16,1000,105.6162,0.0010475318,0.0001309415,3,3.2735367290821e-05,0.0002291476,0.0030116538,13.8022,54.3478,6.1848,13,0.00094933,3,0.0,0.0
724,3,23,24,700,76.1916,0.0012880275,0.0002146712,1,3.06673209028459e-05,0.0001993376,0.0029440628,47.9162,76.7083,4.3021,18,0.0011347,6,0.0,1.5334e-05
732,3,20,10,300,55.4748,7.80323366002872e-05,7.80323366002872e-05,4,9.36388039203446e-05,0.0005306199,0.0022473313,41.7902,91.0556,4.5972,23,0.00042137,6,0.0,0.0
735,2,18,20,500,96.3384,0.0017119937,0.0001345138,4,2.44570534142047e-05,0.000904911,0.0026658188,42.8571,75.945,6.1009,23,0.0013207,7,0.0,0.0
736,3,18,28,450,137.964,0.0039959912,0.0003597677,1,0.0,0.0010150588,0.0030965719,35.7,51.1701,7.3278,22,0.0013491,8,0.0,0.0
739,5,18,8,720,99.8766,0.0058431884,0.000256076,5,4.65592699506472e-05,0.0005819909,0.0022115653,35.8298,89.3895,5.8,14,0.00081479,3,0.0,0.0
746,5,18,20,700,105.147,0.0025210923,0.0001872098,4,3.74419649543208e-05,0.0005990714,0.0029329539,50.5812,56.9362,5.9574,25,0.00091109,6,0.0,0.0
747,5,22,12,700,89.2788,0.001615212,0.0001450789,3,0.0002031105,0.0003191736,0.0033271433,52.1983,63.2442,4.5814,33,0.00088015,10,4.83596409780254e-05,6.7703e-05
754,2,20,10,50,43.3884,0.0003405151,0.0002166914,4,0.0,0.0002166914,0.0019657008,26.381,73.8898,4.1339,12,0.00065007,7,0.0,0.00010835
758,2,23,12,100,45.3894,0.0004846631,7.53920386007238e-05,4,0.0001077029,0.0001507841,0.0031880062,73.1797,81.527,2.5608,23,0.000797,6,0.0,0.0
760,4,26,12,500,82.9908,0.0016576558,0.0004845455,3,0.0,0.0008160767,0.0033153116,49.2093,65.6923,4.2615,13,0.00084158,4,0.0,0.0
762,4,18,10,600,58.947,9.80776775205963e-05,5.88466065123578e-05,0,0.0,0.0001765398,0.0020007846,64.5545,85.4902,5.6765,14,0.00068654,4,0.0,1.9616e-05
765,3,23,8,96,82.458,0.0022221332,0.0004003844,6,0.0,4.00384368994234e-05,0.0035934497,53.8883,67.7326,3.7911,22,0.00053051,6,0.0,0.0
766,1,22,10,30,43.779,0.0002940792,0.0001307019,3,0.0,0.0002614037,0.0028427657,35.2093,86.6667,2.8966,7,0.00071886,3,0.0,0.0
774,3,21,10,350,95.8032,0.0016262429,0.0002671685,4,4.64640832636372e-05,0.000569185,0.0031130936,37.2584,72.0896,5.3321,23,0.0010454,6,0.0,0.0
776,2,21,18,200,77.3832,0.0009740125,0.0002279604,4,0.0,0.0003730261,0.0035023003,52.9258,63.7988,3.8047,18,0.0010984,6,0.0,0.0
779,1,28,6,100,68.214,0.0012114596,0.0003461313,1,0.0,0.0003860695,0.0022897918,57.0526,84.0698,5.4767,17,0.00099846,6,0.0,0.0
780,3,19,28,100,86.1144,0.0010832213,0.0001494098,0,3.73524577917227e-05,0.0003610738,0.0024154589,48.2487,77.4845,6.4175,13,0.00057274,5,0.0,0.00043578
784,4,16,10,360,156.0678,0.0060371644,0.0004502292,3,4.09299279633268e-05,0.0008185986,0.0037246234,32.8398,46.2418,6.1538,16,0.0018828,5,0.0,0.0
787,5,18,28,600,139.9266,0.0086818444,0.0004536831,6,0.0,0.0001649757,0.0041656356,37.6318,47.0891,4.2376,13,0.00094861,5,0.0,0.0
789,4,16,12,450,119.1558,0.0046023564,0.0003287397,5,0.0,9.20471281296024e-05,0.0034057437,36.2481,61.1892,5.332,18,0.00085472,4,0.0,0.00034189
793,2,21,10,150,73.6266,0.00063484,0.0003301168,3,0.0,0.0002031488,0.0025647537,48.7562,78.1386,5.5149,21,0.0010665,5,0.0,0.0
797,5,26,16,250,100.3596,0.0027520278,0.0004924681,5,5.79374275782155e-05,0.0001448436,0.0031865585,27.7064,68.1455,5.0545,13,0.00069525,4,0.0,8.6906e-05
799,4,17,20,500,61.8882,0.0016027298,0.0001895702,5,0.0001120188,8.61682693964774e-05,0.0024213284,50.3,91.1032,4.2206,23,0.00074105,7,0.0,0.0
813,6,24,20,1000,94.0662,0.0026511397,0.0004088206,6,0.000148662,0.0006070367,0.0033448959,41.7695,57.5407,4.6667,26,0.00081764,10,8.67195242814668e-05,0.00033449
816,2,16,6,450,97.482,0.0049546279,0.0006896552,2,0.0,0.0002540835,0.0035117967,34.5803,69.5297,3.9225,19,0.00049909,6,0.0,0.00015426
818,4,20,30,700,91.1646,0.00175551,0.0001409534,3,3.84418247052793e-05,0.0001537673,0.0035494618,40.5362,57.2274,4.4621,23,0.00067914,8,0.0001665812,8.9698e-05
819,2,18,24,300,65.8302,0.0009747031,0.0001586726,0,0.0,0.0002946777,0.0021080787,64.2609,71.5269,5.3978,11,0.00086137,6,0.0,0.0
822,3,23,6,650,93.6108,0.001629286,0.0002054955,6,1.46782527007985e-05,0.000176139,0.0030824331,44.689,64.7238,5.3048,17,0.00091005,6,0.0,7.3391e-05
824,4,16,16,184,113.9904,0.0009974878,8.62026501157578e-05,0,2.46293286045022e-05,0.0006896212,0.0032880154,34.2256,56.2846,6.0375,26,0.0015393,7,0.0,0.0
833,3,23,16,300,125.7312,0.0026744097,0.0005730878,8,0.0,0.0003629556,0.0043554673,25.1253,57.0965,4.8816,24,0.00097425,9,0.0,0.0
849,6,20,6,800,116.1894,0.003470473,0.0005597537,5,4.19815281276238e-05,0.0002798769,0.0045060174,42.4798,56.2857,3.8789,28,0.0015113,7,0.0,0.0
865,4,21,12,350,69.9006,0.0013899087,0.0001835729,5,3.27808664638624e-05,0.0003146963,0.0029961712,55.8947,76.6039,4.0613,25,0.00072774,9,0.0,0.0
866,3,20,6,1000,61.467,3.99689384249954e-05,2.85492417321396e-05,4,5.70984834642792e-05,4.56787867714234e-05,0.003049059,47.2495,85.5431,3.9345,24,0.00038827,9,0.0,5.7098e-05
874,4,27,4,50,46.7628,0.0009774504,0.0003864339,1,9.09256228405165e-05,0.0001363884,0.00145481,28.8254,105.3125,5.3906,14,0.00052282,3,0.0,0.0
